onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-08	0	3	baseline	0	0	0	0
30	180	sub-08	16	3	4A	4	bad	positive	Sami’s good luck. 
210	30	sub-08	106	3	baseline	0	0	0	0
240	180	sub-08	121	3	1B	1	good	positive	Austin got back Carrie. 
420	30	sub-08	211	3	baseline	0	0	0	0
450	180	sub-08	226	3	3A	3	good	negative	Belle’s daughter gets very sick. 
630	30	sub-08	316	3	baseline	0	0	0	0
660	180	sub-08	331	3	2A	2	bad	negative	Sami found Austin still loves Carrie. 
840	30	sub-08	421	3	baseline	0	0	0	0
870	180	sub-08	436	3	5A	5	random	random	Maggie – Random scenes 
1050	30	sub-08	526	3	baseline	0	0	0	0
