onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-32	0	3	baseline	0	0	0	0
30	180	sub-32	16	3	4B	4	bad	positive	Sami will go to the concert. 
210	30	sub-32	106	3	baseline	0	0	0	0
240	180	sub-32	121	3	1B	1	good	positive	Austin got back Carrie. 
420	30	sub-32	211	3	baseline	0	0	0	0
450	180	sub-32	226	3	5B	5	random 	random	Max – Random scenes
630	30	sub-32	316	3	baseline	0	0	0	0
660	180	sub-32	331	3	3C	3	good	negative	Jenny’s husband is dead. 
840	30	sub-32	421	3	baseline	0	0	0	0
870	180	sub-32	436	3	2C	2	bad	negative	Sami failed to persuade Austin.
1050	30	sub-32	526	3	baseline	0	0	0	0
