onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-11	0	3	baseline	0	0	0	0
30	180	sub-11	16	3	3A	3	good	negative	Belle’s daughter gets very sick. 
210	30	sub-11	106	3	baseline	0	0	0	0
240	180	sub-11	121	3	2A	2	bad	negative	Sami found Austin still loves Carrie. 
420	30	sub-11	211	3	baseline	0	0	0	0
450	180	sub-11	226	3	5C	5	random 	random	Becky – Random scenes
630	30	sub-11	316	3	baseline	0	0	0	0
660	180	sub-11	331	3	1B	1	good	positive	Austin got back Carrie. 
840	30	sub-11	421	3	baseline	0	0	0	0
870	180	sub-11	436	3	4B	4	bad	positive	Sami will go to the concert. 
1050	30	sub-11	526	3	baseline	0	0	0	0
