onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-07	0	2	baseline	0	0	0	0
30	180	sub-07	16	2	4B	4	bad	positive	Sami will go to the concert. 
210	30	sub-07	106	2	baseline	0	0	0	0
240	180	sub-07	121	2	5A	5	random	random	Maggie – Random scenes 
420	30	sub-07	211	2	baseline	0	0	0	0
450	180	sub-07	226	2	1C	1	good	positive	Shawn proposed to Mimi. 
630	30	sub-07	316	2	baseline	0	0	0	0
660	180	sub-07	331	2	3B	3	good	negative	John looses Marlena to Alex 
840	30	sub-07	421	2	baseline	0	0	0	0
870	180	sub-07	436	2	2B	2	bad	negative	Chelsea’s terrible car accident. 
1050	30	sub-07	526	2	baseline	0	0	0	0
