onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-34	0	2	baseline	0	0	0	0
30	180	sub-34	16	2	5B	5	random 	random	Max – Random scenes
210	30	sub-34	106	2	baseline	0	0	0	0
240	180	sub-34	121	2	4B	4	bad	positive	Sami will go to the concert. 
420	30	sub-34	211	2	baseline	0	0	0	0
450	180	sub-34	226	2	3B	3	good	negative	John looses Marlena to Alex 
630	30	sub-34	316	2	baseline	0	0	0	0
660	180	sub-34	331	2	1C	1	good	positive	Shawn proposed to Mimi. 
840	30	sub-34	421	2	baseline	0	0	0	0
870	180	sub-34	436	2	2A	2	bad	negative	Sami found Austin still loves Carrie. 
1050	30	sub-34	526	2	baseline	0	0	0	0
