onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-34	0	1	baseline	0	0	0	0
30	180	sub-34	16	1	3A	3	good	negative	Belle’s daughter gets very sick. 
210	30	sub-34	106	1	baseline	0	0	0	0
240	180	sub-34	121	1	5C	5	random 	random	Becky – Random scenes
420	30	sub-34	211	1	baseline	0	0	0	0
450	180	sub-34	226	1	1B	1	good	positive	Austin got back Carrie. 
630	30	sub-34	316	1	baseline	0	0	0	0
660	180	sub-34	331	1	2B	2	bad	negative	Chelsea’s terrible car accident. 
840	30	sub-34	421	1	baseline	0	0	0	0
870	180	sub-34	436	1	4C	4	bad	positive	Lucas got back the account. 
1050	30	sub-34	526	1	baseline	0	0	0	0
