onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-34	0	3	baseline	0	0	0	0
30	180	sub-34	16	3	2C	2	bad	negative	Sami failed to persuade Austin.
210	30	sub-34	106	3	baseline	0	0	0	0
240	180	sub-34	121	3	5A	5	random	random	Maggie – Random scenes 
420	30	sub-34	211	3	baseline	0	0	0	0
450	180	sub-34	226	3	4A	4	bad	positive	Sami’s good luck. 
630	30	sub-34	316	3	baseline	0	0	0	0
660	180	sub-34	331	3	1A	1	good	positive	Belle’s daughter has survived. 
840	30	sub-34	421	3	baseline	0	0	0	0
870	180	sub-34	436	3	3C	3	good	negative	Jenny’s husband is dead. 
1050	30	sub-34	526	3	baseline	0	0	0	0
