onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-26	0	3	baseline	0	0	0	0
30	180	sub-26	16	3	4C	4	bad	positive	Lucas got back the account. 
210	30	sub-26	106	3	baseline	0	0	0	0
240	180	sub-26	121	3	5A	5	random	random	Maggie – Random scenes 
420	30	sub-26	211	3	baseline	0	0	0	0
450	180	sub-26	226	3	2C	2	bad	negative	Sami failed to persuade Austin.
630	30	sub-26	316	3	baseline	0	0	0	0
660	180	sub-26	331	3	3A	3	good	negative	Belle’s daughter gets very sick. 
840	30	sub-26	421	3	baseline	0	0	0	0
870	180	sub-26	436	3	1C	1	good	positive	Shawn proposed to Mimi. 
1050	30	sub-26	526	3	baseline	0	0	0	0
