onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-20	0	1	baseline	0	0	0	0
30	180	sub-20	16	1	2B	2	bad	negative	Chelsea’s terrible car accident. 
210	30	sub-20	106	1	baseline	0	0	0	0
240	180	sub-20	121	1	5A	5	random	random	Maggie – Random scenes 
420	30	sub-20	211	1	baseline	0	0	0	0
450	180	sub-20	226	1	3B	3	good	negative	John looses Marlena to Alex 
630	30	sub-20	316	1	baseline	0	0	0	0
660	180	sub-20	331	1	4C	4	bad	positive	Lucas got back the account. 
840	30	sub-20	421	1	baseline	0	0	0	0
870	180	sub-20	436	1	1A	1	good	positive	Belle’s daughter has survived. 
1050	30	sub-20	526	1	baseline	0	0	0	0
