onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-20	0	3	baseline	0	0	0	0
30	180	sub-20	16	3	4A	4	bad	positive	Sami’s good luck. 
210	30	sub-20	106	3	baseline	0	0	0	0
240	180	sub-20	121	3	2A	2	bad	negative	Sami found Austin still loves Carrie. 
420	30	sub-20	211	3	baseline	0	0	0	0
450	180	sub-20	226	3	5C	5	random 	random	Becky – Random scenes
630	30	sub-20	316	3	baseline	0	0	0	0
660	180	sub-20	331	3	3A	3	good	negative	Belle’s daughter gets very sick. 
840	30	sub-20	421	3	baseline	0	0	0	0
870	180	sub-20	436	3	1C	1	good	positive	Shawn proposed to Mimi. 
1050	30	sub-20	526	3	baseline	0	0	0	0
