onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-26	0	2	baseline	0	0	0	0
30	180	sub-26	16	2	4A	4	bad	positive	Sami’s good luck. 
210	30	sub-26	106	2	baseline	0	0	0	0
240	180	sub-26	121	2	3B	3	good	negative	John looses Marlena to Alex 
420	30	sub-26	211	2	baseline	0	0	0	0
450	180	sub-26	226	2	1B	1	good	positive	Austin got back Carrie. 
630	30	sub-26	316	2	baseline	0	0	0	0
660	180	sub-26	331	2	2A	2	bad	negative	Sami found Austin still loves Carrie. 
840	30	sub-26	421	2	baseline	0	0	0	0
870	180	sub-26	436	2	5B	5	random 	random	Max – Random scenes
1050	30	sub-26	526	2	baseline	0	0	0	0
