onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-25	0	1	baseline	0	0	0	0
30	180	sub-25	16	1	5C	5	random 	random	Becky – Random scenes
210	30	sub-25	106	1	baseline	0	0	0	0
240	180	sub-25	121	1	1B	1	good	positive	Austin got back Carrie. 
420	30	sub-25	211	1	baseline	0	0	0	0
450	180	sub-25	226	1	3A	3	good	negative	Belle’s daughter gets very sick. 
630	30	sub-25	316	1	baseline	0	0	0	0
660	180	sub-25	331	1	4B	4	bad	positive	Sami will go to the concert. 
840	30	sub-25	421	1	baseline	0	0	0	0
870	180	sub-25	436	1	2B	2	bad	negative	Chelsea’s terrible car accident. 
1050	30	sub-25	526	1	baseline	0	0	0	0
