onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-25	0	2	baseline	0	0	0	0
30	180	sub-25	16	2	1A	1	good	positive	Belle’s daughter has survived. 
210	30	sub-25	106	2	baseline	0	0	0	0
240	180	sub-25	121	2	3B	3	good	negative	John looses Marlena to Alex 
420	30	sub-25	211	2	baseline	0	0	0	0
450	180	sub-25	226	2	4C	4	bad	positive	Lucas got back the account. 
630	30	sub-25	316	2	baseline	0	0	0	0
660	180	sub-25	331	2	2A	2	bad	negative	Sami found Austin still loves Carrie. 
840	30	sub-25	421	2	baseline	0	0	0	0
870	180	sub-25	436	2	5B	5	random 	random	Max – Random scenes
1050	30	sub-25	526	2	baseline	0	0	0	0
