onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-08	0	2	baseline	0	0	0	0
30	180	sub-08	16	2	4C	4	bad	positive	Lucas got back the account. 
210	30	sub-08	106	2	baseline	0	0	0	0
240	180	sub-08	121	2	2C	2	bad	negative	Sami failed to persuade Austin.
420	30	sub-08	211	2	baseline	0	0	0	0
450	180	sub-08	226	2	3C	3	good	negative	Jenny’s husband is dead. 
630	30	sub-08	316	2	baseline	0	0	0	0
660	180	sub-08	331	2	5B	5	random 	random	Max – Random scenes
840	30	sub-08	421	2	baseline	0	0	0	0
870	180	sub-08	436	2	1A	1	good	positive	Belle’s daughter has survived. 
1050	30	sub-08	526	2	baseline	0	0	0	0
