onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-08	0	1	baseline	0	0	0	0
30	180	sub-08	16	1	5C	5	random 	random	Becky – Random scenes
210	30	sub-08	106	1	baseline	0	0	0	0
240	180	sub-08	121	1	3B	3	good	negative	John looses Marlena to Alex 
420	30	sub-08	211	1	baseline	0	0	0	0
450	180	sub-08	226	1	2B	2	bad	negative	Chelsea’s terrible car accident. 
630	30	sub-08	316	1	baseline	0	0	0	0
660	180	sub-08	331	1	1C	1	good	positive	Shawn proposed to Mimi. 
840	30	sub-08	421	1	baseline	0	0	0	0
870	180	sub-08	436	1	4B	4	bad	positive	Sami will go to the concert. 
1050	30	sub-08	526	1	baseline	0	0	0	0
