onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-16	0	3	baseline	0	0	0	0
30	180	sub-16	16	3	3B	3	good	negative	John looses Marlena to Alex 
210	30	sub-16	106	3	baseline	0	0	0	0
240	180	sub-16	121	3	4C	4	bad	positive	Lucas got back the account. 
420	30	sub-16	211	3	baseline	0	0	0	0
450	180	sub-16	226	3	2B	2	bad	negative	Chelsea’s terrible car accident. 
630	30	sub-16	316	3	baseline	0	0	0	0
660	180	sub-16	331	3	5B	5	random 	random	Max – Random scenes
840	30	sub-16	421	3	baseline	0	0	0	0
870	180	sub-16	436	3	1B	1	good	positive	Austin got back Carrie. 
1050	30	sub-16	526	3	baseline	0	0	0	0
