onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-16	0	1	baseline	0	0	0	0
30	180	sub-16	16	1	3C	3	good	negative	Jenny’s husband is dead. 
210	30	sub-16	106	1	baseline	0	0	0	0
240	180	sub-16	121	1	4B	4	bad	positive	Sami will go to the concert. 
420	30	sub-16	211	1	baseline	0	0	0	0
450	180	sub-16	226	1	1C	1	good	positive	Shawn proposed to Mimi. 
630	30	sub-16	316	1	baseline	0	0	0	0
660	180	sub-16	331	1	5C	5	random 	random	Becky – Random scenes
840	30	sub-16	421	1	baseline	0	0	0	0
870	180	sub-16	436	1	2A	2	bad	negative	Sami found Austin still loves Carrie. 
1050	30	sub-16	526	1	baseline	0	0	0	0
