onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-30	0	1	baseline	0	0	0	0
30	180	sub-30	16	1	1A	1	good	positive	Belle’s daughter has survived. 
210	30	sub-30	106	1	baseline	0	0	0	0
240	180	sub-30	121	1	3A	3	good	negative	Belle’s daughter gets very sick. 
420	30	sub-30	211	1	baseline	0	0	0	0
450	180	sub-30	226	1	5A	5	random	random	Maggie – Random scenes 
630	30	sub-30	316	1	baseline	0	0	0	0
660	180	sub-30	331	1	2B	2	bad	negative	Chelsea’s terrible car accident. 
840	30	sub-30	421	1	baseline	0	0	0	0
870	180	sub-30	436	1	4B	4	bad	positive	Sami will go to the concert. 
1050	30	sub-30	526	1	baseline	0	0	0	0
