onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-33	0	3	baseline	0	0	0	0
30	180	sub-33	16	3	3B	3	good	negative	John looses Marlena to Alex 
210	30	sub-33	106	3	baseline	0	0	0	0
240	180	sub-33	121	3	2A	2	bad	negative	Sami found Austin still loves Carrie. 
420	30	sub-33	211	3	baseline	0	0	0	0
450	180	sub-33	226	3	1B	1	good	positive	Austin got back Carrie. 
630	30	sub-33	316	3	baseline	0	0	0	0
660	180	sub-33	331	3	5B	5	random 	random	Max – Random scenes
840	30	sub-33	421	3	baseline	0	0	0	0
870	180	sub-33	436	3	4A	4	bad	positive	Sami’s good luck. 
1050	30	sub-33	526	3	baseline	0	0	0	0
