onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-33	0	1	baseline	0	0	0	0
30	180	sub-33	16	1	2C	2	bad	negative	Sami failed to persuade Austin.
210	30	sub-33	106	1	baseline	0	0	0	0
240	180	sub-33	121	1	4C	4	bad	positive	Lucas got back the account. 
420	30	sub-33	211	1	baseline	0	0	0	0
450	180	sub-33	226	1	3C	3	good	negative	Jenny’s husband is dead. 
630	30	sub-33	316	1	baseline	0	0	0	0
660	180	sub-33	331	1	1A	1	good	positive	Belle’s daughter has survived. 
840	30	sub-33	421	1	baseline	0	0	0	0
870	180	sub-33	436	1	5A	5	random	random	Maggie – Random scenes 
1050	30	sub-33	526	1	baseline	0	0	0	0
