onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-23	0	3	baseline	0	0	0	0
30	180	sub-23	16	3	5B	5	random 	random	Max – Random scenes
210	30	sub-23	106	3	baseline	0	0	0	0
240	180	sub-23	121	3	4A	4	bad	positive	Sami’s good luck. 
420	30	sub-23	211	3	baseline	0	0	0	0
450	180	sub-23	226	3	3B	3	good	negative	John looses Marlena to Alex 
630	30	sub-23	316	3	baseline	0	0	0	0
660	180	sub-23	331	3	2A	2	bad	negative	Sami found Austin still loves Carrie. 
840	30	sub-23	421	3	baseline	0	0	0	0
870	180	sub-23	436	3	1C	1	good	positive	Shawn proposed to Mimi. 
1050	30	sub-23	526	3	baseline	0	0	0	0
