onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-23	0	1	baseline	0	0	0	0
30	180	sub-23	16	1	5A	5	random	random	Maggie – Random scenes 
210	30	sub-23	106	1	baseline	0	0	0	0
240	180	sub-23	121	1	2C	2	bad	negative	Sami failed to persuade Austin.
420	30	sub-23	211	1	baseline	0	0	0	0
450	180	sub-23	226	1	1B	1	good	positive	Austin got back Carrie. 
630	30	sub-23	316	1	baseline	0	0	0	0
660	180	sub-23	331	1	4C	4	bad	positive	Lucas got back the account. 
840	30	sub-23	421	1	baseline	0	0	0	0
870	180	sub-23	436	1	3A	3	good	negative	Belle’s daughter gets very sick. 
1050	30	sub-23	526	1	baseline	0	0	0	0
