onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-21	0	2	baseline	0	0	0	0
30	180	sub-21	16	2	2A	2	bad	negative	Sami found Austin still loves Carrie. 
210	30	sub-21	106	2	baseline	0	0	0	0
240	180	sub-21	121	2	4C	4	bad	positive	Lucas got back the account. 
420	30	sub-21	211	2	baseline	0	0	0	0
450	180	sub-21	226	2	5B	5	random 	random	Max – Random scenes
630	30	sub-21	316	2	baseline	0	0	0	0
660	180	sub-21	331	2	1B	1	good	positive	Austin got back Carrie. 
840	30	sub-21	421	2	baseline	0	0	0	0
870	180	sub-21	436	2	3B	3	good	negative	John looses Marlena to Alex 
1050	30	sub-21	526	2	baseline	0	0	0	0
