onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-21	0	3	baseline	0	0	0	0
30	180	sub-21	16	3	5C	5	random 	random	Becky – Random scenes
210	30	sub-21	106	3	baseline	0	0	0	0
240	180	sub-21	121	3	1C	1	good	positive	Shawn proposed to Mimi. 
420	30	sub-21	211	3	baseline	0	0	0	0
450	180	sub-21	226	3	4A	4	bad	positive	Sami’s good luck. 
630	30	sub-21	316	3	baseline	0	0	0	0
660	180	sub-21	331	3	2B	2	bad	negative	Chelsea’s terrible car accident. 
840	30	sub-21	421	3	baseline	0	0	0	0
870	180	sub-21	436	3	3C	3	good	negative	Jenny’s husband is dead. 
1050	30	sub-21	526	3	baseline	0	0	0	0
