onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-14	0	3	baseline	0	0	0	0
30	180	sub-14	16	3	3A	3	good	negative	Belle’s daughter gets very sick. 
210	30	sub-14	106	3	baseline	0	0	0	0
240	180	sub-14	121	3	5C	5	random 	random	Becky – Random scenes
420	30	sub-14	211	3	baseline	0	0	0	0
450	180	sub-14	226	3	1B	1	good	positive	Austin got back Carrie. 
630	30	sub-14	316	3	baseline	0	0	0	0
660	180	sub-14	331	3	2B	2	bad	negative	Chelsea’s terrible car accident. 
840	30	sub-14	421	3	baseline	0	0	0	0
870	180	sub-14	436	3	4C	4	bad	positive	Lucas got back the account. 
1050	30	sub-14	526	3	baseline	0	0	0	0
