onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-36	0	2	baseline	0	0	0	0
30	180	sub-36	16	2	5B	5	random 	random	Max – Random scenes
210	30	sub-36	106	2	baseline	0	0	0	0
240	180	sub-36	121	2	2B	2	bad	negative	Chelsea’s terrible car accident. 
420	30	sub-36	211	2	baseline	0	0	0	0
450	180	sub-36	226	2	4C	4	bad	positive	Lucas got back the account. 
630	30	sub-36	316	2	baseline	0	0	0	0
660	180	sub-36	331	2	1A	1	good	positive	Belle’s daughter has survived. 
840	30	sub-36	421	2	baseline	0	0	0	0
870	180	sub-36	436	2	3A	3	good	negative	Belle’s daughter gets very sick. 
1050	30	sub-36	526	2	baseline	0	0	0	0
