onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-27	0	1	baseline	0	0	0	0
30	180	sub-27	16	1	3B	3	good	negative	John looses Marlena to Alex 
210	30	sub-27	106	1	baseline	0	0	0	0
240	180	sub-27	121	1	1C	1	good	positive	Shawn proposed to Mimi. 
420	30	sub-27	211	1	baseline	0	0	0	0
450	180	sub-27	226	1	2B	2	bad	negative	Chelsea’s terrible car accident. 
630	30	sub-27	316	1	baseline	0	0	0	0
660	180	sub-27	331	1	5A	5	random	random	Maggie – Random scenes 
840	30	sub-27	421	1	baseline	0	0	0	0
870	180	sub-27	436	1	4B	4	bad	positive	Sami will go to the concert. 
1050	30	sub-27	526	1	baseline	0	0	0	0
