onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-22	0	2	baseline	0	0	0	0
30	180	sub-22	16	2	2C	2	bad	negative	Sami failed to persuade Austin.
210	30	sub-22	106	2	baseline	0	0	0	0
240	180	sub-22	121	2	1B	1	good	positive	Austin got back Carrie. 
420	30	sub-22	211	2	baseline	0	0	0	0
450	180	sub-22	226	2	3A	3	good	negative	Belle’s daughter gets very sick. 
630	30	sub-22	316	2	baseline	0	0	0	0
660	180	sub-22	331	2	5A	5	random	random	Maggie – Random scenes 
840	30	sub-22	421	2	baseline	0	0	0	0
870	180	sub-22	436	2	4C	4	bad	positive	Lucas got back the account. 
1050	30	sub-22	526	2	baseline	0	0	0	0
