onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-22	0	1	baseline	0	0	0	0
30	180	sub-22	16	1	4A	4	bad	positive	Sami’s good luck. 
210	30	sub-22	106	1	baseline	0	0	0	0
240	180	sub-22	121	1	5C	5	random 	random	Becky – Random scenes
420	30	sub-22	211	1	baseline	0	0	0	0
450	180	sub-22	226	1	3B	3	good	negative	John looses Marlena to Alex 
630	30	sub-22	316	1	baseline	0	0	0	0
660	180	sub-22	331	1	2B	2	bad	negative	Chelsea’s terrible car accident. 
840	30	sub-22	421	1	baseline	0	0	0	0
870	180	sub-22	436	1	1C	1	good	positive	Shawn proposed to Mimi. 
1050	30	sub-22	526	1	baseline	0	0	0	0
