onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-29	0	1	baseline	0	0	0	0
30	180	sub-29	16	1	2A	2	bad	negative	Sami found Austin still loves Carrie. 
210	30	sub-29	106	1	baseline	0	0	0	0
240	180	sub-29	121	1	3A	3	good	negative	Belle’s daughter gets very sick. 
420	30	sub-29	211	1	baseline	0	0	0	0
450	180	sub-29	226	1	1C	1	good	positive	Shawn proposed to Mimi. 
630	30	sub-29	316	1	baseline	0	0	0	0
660	180	sub-29	331	1	5B	5	random 	random	Max – Random scenes
840	30	sub-29	421	1	baseline	0	0	0	0
870	180	sub-29	436	1	4C	4	bad	positive	Lucas got back the account. 
1050	30	sub-29	526	1	baseline	0	0	0	0
