onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-07	0	3	baseline	0	0	0	0
30	180	sub-07	16	3	5B	5	random 	random	Max – Random scenes
210	30	sub-07	106	3	baseline	0	0	0	0
240	180	sub-07	121	3	2C	2	bad	negative	Sami failed to persuade Austin.
420	30	sub-07	211	3	baseline	0	0	0	0
450	180	sub-07	226	3	3C	3	good	negative	Jenny’s husband is dead. 
630	30	sub-07	316	3	baseline	0	0	0	0
660	180	sub-07	331	3	1A	1	good	positive	Belle’s daughter has survived. 
840	30	sub-07	421	3	baseline	0	0	0	0
870	180	sub-07	436	3	4C	4	bad	positive	Lucas got back the account. 
1050	30	sub-07	526	3	baseline	0	0	0	0
