onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-13	0	3	baseline	0	0	0	0
30	180	sub-13	16	3	5A	5	random	random	Maggie – Random scenes 
210	30	sub-13	106	3	baseline	0	0	0	0
240	180	sub-13	121	3	3A	3	good	negative	Belle’s daughter gets very sick. 
420	30	sub-13	211	3	baseline	0	0	0	0
450	180	sub-13	226	3	1C	1	good	positive	Shawn proposed to Mimi. 
630	30	sub-13	316	3	baseline	0	0	0	0
660	180	sub-13	331	3	2A	2	bad	negative	Sami found Austin still loves Carrie. 
840	30	sub-13	421	3	baseline	0	0	0	0
870	180	sub-13	436	3	4C	4	bad	positive	Lucas got back the account. 
1050	30	sub-13	526	3	baseline	0	0	0	0
