onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-11	0	2	baseline	0	0	0	0
30	180	sub-11	16	2	4A	4	bad	positive	Sami’s good luck. 
210	30	sub-11	106	2	baseline	0	0	0	0
240	180	sub-11	121	2	1A	1	good	positive	Belle’s daughter has survived. 
420	30	sub-11	211	2	baseline	0	0	0	0
450	180	sub-11	226	2	2C	2	bad	negative	Sami failed to persuade Austin.
630	30	sub-11	316	2	baseline	0	0	0	0
660	180	sub-11	331	2	5A	5	random	random	Maggie – Random scenes 
840	30	sub-11	421	2	baseline	0	0	0	0
870	180	sub-11	436	2	3C	3	good	negative	Jenny’s husband is dead. 
1050	30	sub-11	526	2	baseline	0	0	0	0
