onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-24	0	2	baseline	0	0	0	0
30	180	sub-24	16	2	5A	5	random	random	Maggie – Random scenes 
210	30	sub-24	106	2	baseline	0	0	0	0
240	180	sub-24	121	2	2A	2	bad	negative	Sami found Austin still loves Carrie. 
420	30	sub-24	211	2	baseline	0	0	0	0
450	180	sub-24	226	2	1C	1	good	positive	Shawn proposed to Mimi. 
630	30	sub-24	316	2	baseline	0	0	0	0
660	180	sub-24	331	2	3B	3	good	negative	John looses Marlena to Alex 
840	30	sub-24	421	2	baseline	0	0	0	0
870	180	sub-24	436	2	4C	4	bad	positive	Lucas got back the account. 
1050	30	sub-24	526	2	baseline	0	0	0	0
