onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-31	0	3	baseline	0	0	0	0
30	180	sub-31	16	3	5B	5	random 	random	Max – Random scenes
210	30	sub-31	106	3	baseline	0	0	0	0
240	180	sub-31	121	3	3B	3	good	negative	John looses Marlena to Alex 
420	30	sub-31	211	3	baseline	0	0	0	0
450	180	sub-31	226	3	1A	1	good	positive	Belle’s daughter has survived. 
630	30	sub-31	316	3	baseline	0	0	0	0
660	180	sub-31	331	3	4A	4	bad	positive	Sami’s good luck. 
840	30	sub-31	421	3	baseline	0	0	0	0
870	180	sub-31	436	3	2C	2	bad	negative	Sami failed to persuade Austin.
1050	30	sub-31	526	3	baseline	0	0	0	0
