onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-12	0	2	baseline	0	0	0	0
30	180	sub-12	16	2	2A	2	bad	negative	Sami found Austin still loves Carrie. 
210	30	sub-12	106	2	baseline	0	0	0	0
240	180	sub-12	121	2	4A	4	bad	positive	Sami’s good luck. 
420	30	sub-12	211	2	baseline	0	0	0	0
450	180	sub-12	226	2	5C	5	random 	random	Becky – Random scenes
630	30	sub-12	316	2	baseline	0	0	0	0
660	180	sub-12	331	2	3C	3	good	negative	Jenny’s husband is dead. 
840	30	sub-12	421	2	baseline	0	0	0	0
870	180	sub-12	436	2	1C	1	good	positive	Shawn proposed to Mimi. 
1050	30	sub-12	526	2	baseline	0	0	0	0
