onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-24	0	1	baseline	0	0	0	0
30	180	sub-24	16	1	4B	4	bad	positive	Sami will go to the concert. 
210	30	sub-24	106	1	baseline	0	0	0	0
240	180	sub-24	121	1	1B	1	good	positive	Austin got back Carrie. 
420	30	sub-24	211	1	baseline	0	0	0	0
450	180	sub-24	226	1	5B	5	random 	random	Max – Random scenes
630	30	sub-24	316	1	baseline	0	0	0	0
660	180	sub-24	331	1	3C	3	good	negative	Jenny’s husband is dead. 
840	30	sub-24	421	1	baseline	0	0	0	0
870	180	sub-24	436	1	2C	2	bad	negative	Sami failed to persuade Austin.
1050	30	sub-24	526	1	baseline	0	0	0	0
