onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-36	0	3	baseline	0	0	0	0
30	180	sub-36	16	3	5A	5	random	random	Maggie – Random scenes 
210	30	sub-36	106	3	baseline	0	0	0	0
240	180	sub-36	121	3	1B	1	good	positive	Austin got back Carrie. 
420	30	sub-36	211	3	baseline	0	0	0	0
450	180	sub-36	226	3	2C	2	bad	negative	Sami failed to persuade Austin.
630	30	sub-36	316	3	baseline	0	0	0	0
660	180	sub-36	331	3	4B	4	bad	positive	Sami will go to the concert. 
840	30	sub-36	421	3	baseline	0	0	0	0
870	180	sub-36	436	3	3C	3	good	negative	Jenny’s husband is dead. 
1050	30	sub-36	526	3	baseline	0	0	0	0
