onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-36	0	1	baseline	0	0	0	0
30	180	sub-36	16	1	4A	4	bad	positive	Sami’s good luck. 
210	30	sub-36	106	1	baseline	0	0	0	0
240	180	sub-36	121	1	5C	5	random 	random	Becky – Random scenes
420	30	sub-36	211	1	baseline	0	0	0	0
450	180	sub-36	226	1	1C	1	good	positive	Shawn proposed to Mimi. 
630	30	sub-36	316	1	baseline	0	0	0	0
660	180	sub-36	331	1	2A	2	bad	negative	Sami found Austin still loves Carrie. 
840	30	sub-36	421	1	baseline	0	0	0	0
870	180	sub-36	436	1	3B	3	good	negative	John looses Marlena to Alex 
1050	30	sub-36	526	1	baseline	0	0	0	0
