onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-06	0	1	baseline	0	0	0	0
30	180	sub-06	16	1	4C	4	bad	positive	Lucas got back the account. 
210	30	sub-06	106	1	baseline	0	0	0	0
240	180	sub-06	121	1	3C	3	good	negative	Jenny’s husband is dead. 
420	30	sub-06	211	1	baseline	0	0	0	0
450	180	sub-06	226	1	5C	5	random 	random	Becky – Random scenes
630	30	sub-06	316	1	baseline	0	0	0	0
660	180	sub-06	331	1	1B	1	good	positive	Austin got back Carrie. 
840	30	sub-06	421	1	baseline	0	0	0	0
870	180	sub-06	436	1	2C	2	bad	negative	Sami failed to persuade Austin.
1050	30	sub-06	526	1	baseline	0	0	0	0
