onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-27	0	2	baseline	0	0	0	0
30	180	sub-27	16	2	3A	3	good	negative	Belle’s daughter gets very sick. 
210	30	sub-27	106	2	baseline	0	0	0	0
240	180	sub-27	121	2	4C	4	bad	positive	Lucas got back the account. 
420	30	sub-27	211	2	baseline	0	0	0	0
450	180	sub-27	226	2	5C	5	random 	random	Becky – Random scenes
630	30	sub-27	316	2	baseline	0	0	0	0
660	180	sub-27	331	2	2C	2	bad	negative	Sami failed to persuade Austin.
840	30	sub-27	421	2	baseline	0	0	0	0
870	180	sub-27	436	2	1A	1	good	positive	Belle’s daughter has survived. 
1050	30	sub-27	526	2	baseline	0	0	0	0
