onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-35	0	1	baseline	0	0	0	0
30	180	sub-35	16	1	2B	2	bad	negative	Chelsea’s terrible car accident. 
210	30	sub-35	106	1	baseline	0	0	0	0
240	180	sub-35	121	1	1C	1	good	positive	Shawn proposed to Mimi. 
420	30	sub-35	211	1	baseline	0	0	0	0
450	180	sub-35	226	1	4A	4	bad	positive	Sami’s good luck. 
630	30	sub-35	316	1	baseline	0	0	0	0
660	180	sub-35	331	1	3A	3	good	negative	Belle’s daughter gets very sick. 
840	30	sub-35	421	1	baseline	0	0	0	0
870	180	sub-35	436	1	5C	5	random 	random	Becky – Random scenes
1050	30	sub-35	526	1	baseline	0	0	0	0
